gene-g098	3	957	1473	4079	3915	4005	4970	4700	3337	6258	phage	g098
gene-Y11_RS16535	26148	31038	30313	39096	41074	29295	27417	29960	22433	20839	host	nusG
gene-Y11_RS00840	588	411	414	482	669	469	554	520	456	393	host	gene-Y11_RS00840
gene-Y11_RS18170	1216	516	496	526	526	388	425	545	397	426	host	gene-Y11_RS18170
gene-Y11_RS20565	3413	778	881	1179	1176	782	770	829	742	802	host	gene-Y11_RS20565
gene-Y11_RS12335	8675	6795	7002	8081	8624	6377	6031	6752	5076	5021	host	diaA
gene-Y11_RS02365	773	389	454	657	749	562	667	855	641	569	host	ttrA
gene-Y11_RS17295	5402	2733	5176	7763	17446	6813	7759	10103	7737	4796	host	gene-Y11_RS17295
gene-Y11_RS20580	1143	367	485	650	802	490	608	627	523	527	host	gene-Y11_RS20580
gene-Y11_RS04690	554	317	365	463	426	393	377	491	397	365	host	gene-Y11_RS04690
gene-Y11_RS18145	2011	1258	1325	1340	1474	1065	915	1070	944	939	host	gene-Y11_RS18145
gene-Y11_RS13780	6636	4684	4377	3802	3547	2411	2383	2710	2289	2228	host	recG
gene-Y11_RS03090	3411	1526	1530	1825	2256	1703	1831	2073	1842	1745	host	gene-Y11_RS03090
gene-Y11_RS03120	2036	1686	1708	2174	2131	1466	1332	1536	1266	998	host	ansP
gene-Y11_RS01515	4686	7047	8237	7931	7856	5889	4622	4338	3336	3724	host	fruB
gene-g051	4	619	1003	2673	2844	3301	2891	3141	2078	4040	phage	g051
gene-Y11_RS08280	1044	612	634	1000	1022	823	1146	1150	1020	996	host	gene-Y11_RS08280
gene-g008	1	652	1151	2410	1993	2352	2287	2628	2148	2230	phage	g008
gene-Y11_RS09440	6383	5751	7100	8589	10270	7301	7163	8374	5541	5050	host	recR
gene-Y11_RS19210	238	123	210	330	366	352	493	524	512	427	host	gene-Y11_RS19210
gene-Y11_RS16325	774	418	672	886	1083	823	871	1120	741	733	host	metR
gene-Y11_RS17065	11045	11511	10656	10177	10722	5736	6069	6201	4491	3942	host	efp
gene-g357	2	1444	2558	5468	4506	4488	4198	4304	3685	3736	phage	g357
gene-Y11_RS06140	383	222	230	388	309	342	369	403	281	337	host	gene-Y11_RS06140
gene-Y11_RS00820	748	519	643	634	657	466	436	536	440	435	host	gene-Y11_RS00820
gene-Y11_RS00400	954	192	451	672	1182	1062	656	1046	1015	896	host	gene-Y11_RS00400
gene-Y11_RS14760	484	216	236	462	484	423	496	571	530	500	host	gene-Y11_RS14760
gene-Y11_RS15255	30858	26300	25001	28623	29348	22291	22897	25029	19170	18934	host	aroB
gene-Y11_RS10810	22436	16912	16547	13077	11198	7684	7395	9189	7719	10251	host	cysJ
gene-Y11_RS12340	12154	7859	8779	10872	11598	7949	6669	7111	5545	4820	host	dolP
gene-Y11_RS13270	5012	3476	3651	4123	3896	2957	2478	2615	1718	1942	host	argE
gene-Y11_RS06275	113	82	90	107	119	90	50	81	48	42	host	gene-Y11_RS06275
gene-Y11_RS20400	5509	4454	5475	6295	6644	5181	4580	5033	3626	3553	host	gene-Y11_RS20400
gene-Y11_RS10835	1399	949	1177	1525	2290	1611	1424	1694	1539	1313	host	queE
gene-Y11_RS15505	292732	270019	283541	358068	433619	312380	251134	289232	209450	206789	host	rplC
gene-g364	3	1202	2808	5375	4340	4911	4068	4775	4207	4393	phage	g364
gene-Y11_RS18440	661	265	443	862	857	707	774	837	819	655	host	gene-Y11_RS18440
gene-Y11_RS19650	17343	14558	17256	23890	25658	19355	18473	20067	14726	14302	host	gene-Y11_RS19650
gene-Y11_RS02340	1887	1301	1334	1218	1405	907	1108	1169	935	871	host	gene-Y11_RS02340
gene-Y11_RS10085	2646	1564	1537	1790	2259	1597	1555	1957	1435	1475	host	dpaA
gene-g341	1	1423	2640	5318	5686	5043	4171	3836	3067	2875	phage	g341
gene-Y11_RS17250	79140	86409	86986	110523	111689	85713	81829	73128	52031	50764	host	rpsR
