Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-CPT_phageK_gp156	0	0	0	0.9618791270626296	1.4427691009644046	2.2396608854797933	35.44984029392462	10.0662397290478	119.60647347036412	372.40845205842106	62.30442546446061	867.0448362012977	1015.061470761693	672.3535354779088	1242.6768495921242	1652.9431903104676	1479.170395746998	1197.8290030936344	1628.4387034793372	1595.3316789695036	1100.8195553419157	phage	gene-CPT_phageK_gp156	1.028288612068354	0	0	0
gene-CPT_phageK_gp219	0	0	0	0.3206263756875431	2.019876741350166	4.852598585206218	84.23124445906876	18.583827192088243	317.7710449005532	723.0848459065363	126.87446640035616	1590.3745224122497	1679.4098248528226	885.2384862292274	1696.380170291141	1066.6335608185782	1493.1426461025353	1024.7890621307906	559.7758043210222	615.8126641526776	780.8669346967067	phage	gene-CPT_phageK_gp219	1.0058239323850224	0	0	0
gene-CPT_phageK_gp064	2	1	0	1.923758254125259	7.790953145207784	5.599152213699483	163.9176375984036	50.331198645239	563.3535673515375	2300.3054341999377	324.3606149937677	4826.708052729198	6700.190885646585	4267.095763233051	10261.010034158377	8395.639461050527	10416.501454246923	7764.258527488267	3759.581761391402	5859.550804361842	5112.650196459022	phage	gene-CPT_phageK_gp064	1.0691472083535565	0	0	0
gene-CPT_phageK_gp075	0	3	0	0.0	1.4427691009644046	0.7465536284932643	27.57209800638582	10.453402795549636	119.2526081642388	274.2849165027982	50.97634810728596	738.322869797731	570.1269197617245	503.2120677576831	653.1237821962811	332.3234423287362	534.3441690022983	402.4269215249327	184.05542588974984	200.148263393651	336.17842708046527	phage	gene-CPT_phageK_gp075	1.026194466218724	0	0	0
gene-CPT_phageK_gp021	0	1	1	1.6031318784377158	6.9252916846291415	20.53022478356477	183.91498340523287	18.970990258590085	556.2762612290308	511.0326415514319	158.9706855790177	976.751057567974	715.3849643528906	713.5048121071592	830.7734509536696	578.1777344920018	658.5839086501825	729.6032804882925	375.2447830155365	316.8709252265115	652.581652567962	phage	gene-CPT_phageK_gp021	0.8506560249655294	0	0	0
gene-CPT_phageK_gp017	0	0	0	1.2825055027501726	5.771076403857618	14.557795755618654	122.40799554483374	20.906805591099275	392.0827591868741	297.99261636858625	133.67131281466095	575.9576621750501	367.2891097470329	339.9030644416031	498.5511537431613	284.074198662737	256.78730383149315	463.1363125770228	277.50992508183214	175.99874715236953	538.4939510700666	phage	gene-CPT_phageK_gp017	0.8513217686124438	0	0	0
gene-CPT_phageK_gp107	0	0	0	0.3206263756875431	1.7313229211572854	1.866384071233161	29.69302862226165	13.937870394066184	129.5147020418736	431.01915450439714	80.80695181451256	1074.7552819888713	1373.6263736263736	726.1418183161416	2074.321132255389	2009.6623176388664	2132.467506965356	1885.626415492164	1465.5472735898295	1753.7671415827592	1703.7096757019056	phage	gene-CPT_phageK_gp107	1.0427509678795082	0	0	0
gene-CPT_phageK_gp011	2	1	0	1.923758254125259	3.1740920221216897	14.931072569865288	179.06714199751667	25.1655993226195	446.5780163301761	313.79774961244493	120.07761998605136	512.6937411869335	369.470161467621	477.9380553397184	401.8888339781117	210.61608049708647	230.3533166723689	405.6986851145663	138.39826597911423	115.62495654916586	350.88306416241625	phage	gene-CPT_phageK_gp011	0.8634866196097287	0	0	0
gene-CPT_phageK_gp164	0	0	0	0.0	0.5771076403857618	0.0	13.93754404718404	0.7743261330036769	38.5713183676618	40.82992754663502	9.062461885739726	77.16004236122895	53.21766198234919	64.15710844560287	56.6040611236777	55.29688599923506	48.71406205038621	58.89174461340478	29.01132035988305	31.833453227143764	52.7338709145828	phage	gene-CPT_phageK_gp164	0.8615645133616806	0	0	0
gene-CPT_phageK_gp165	1	0	2	0.3206263756875431	0.2885538201928809	0.0	1.8179405278935703	1.5486522660073538	4.954114285754727	57.95215522748197	4.908833521442352	80.81691640678481	238.6070582323361	120.2135718854478	249.4932847989794	4238.614737108032	627.9960092231958	3796.3363518381857	16779.481862574325	7259.856844594936	13362.45865588462	phage	gene-CPT_phageK_gp165	2.055730759813103	0	0	0
