Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b0879	2463	2615	2260	2088	795	1186	499	838	500	331	381	452	host	macB	0.7120769753348761	0	1
gene-b2515	8411	9912	8741	6817	4831	6800	3818	7163	2500	1862	1661	1599	host	ispG	0.5397684035100018	0	1
gene-b1857	2137	2818	2095	1595	1118	1338	773	1461	655	419	391	370	host	znuA	0.6011396985292463	0	1
gene-b0763	1129	1210	1077	841	469	686	398	751	531	290	234	282	host	modA	0.5041197637160634	0	1
gene-b4378	2249	2622	1919	1862	737	1137	440	835	662	403	461	505	host	yjjV	0.6594627270239811	0	1
gene-b1301	2682	2590	2247	1738	896	1413	254	464	232	131	274	313	host	puuB	0.8562001532737895	0	1
gene-b1443	162	185	190	147	76	112	43	73	33	24	22	34	host	ydcV	0.6745488296362736	0	1
gene-b1871	2223	2435	2169	1860	1186	1687	759	1575	493	356	244	256	host	cmoB	0.6214106633486118	0	1
gene-b3810	2501	2964	1930	1858	702	934	521	891	685	448	405	474	host	yigA	0.7111842433476918	0	1
gene-b1251	649	835	366	370	126	161	58	101	105	85	73	104	host	yciI	0.9640396019634072	0	1
gene-b2003	55	48	48	36	18	31	16	24	19	18	14	15	host	yeeT	0.49673190703115605	0	1
gene-b2346	7583	8818	7117	5935	3658	4824	3050	5363	3745	2285	1810	1863	host	mlaA	0.47885987517513257	0	1
gene-b4679	140	162	125	110	34	66	23	52	15	10	24	41	host	yohP	0.7641143547090766	0	1
gene-b1180	2043	2629	1778	1408	768	949	571	1070	632	425	426	405	host	ycgM	0.637011349201473	0	1
gene-b2887	151	197	141	71	36	48	53	72	87	42	36	71	host	ygfT	0.5932843643412973	0	1
gene-b4392	1989	2251	1286	1237	552	700	322	704	372	272	350	358	host	slt	0.749980863041404	0	1
gene-b0397	1626	2213	1847	1190	963	1377	805	1572	903	619	427	431	host	sbcC	0.47088818340890737	0	1
gene-b3935	1213	1388	1360	1187	740	993	526	832	462	307	229	246	host	priA	0.5275637948174484	0	1
gene-b4110	166	221	168	113	74	88	46	69	41	25	30	71	host	rdcB	0.643638673232146	0	1
gene-b0981	638	797	622	525	275	395	286	477	266	172	150	208	host	etk	0.5004293011332871	0	1
gene-b3520	368	445	292	254	135	163	96	168	102	67	69	97	host	yhjB	0.6338460295653153	0	1
gene-b2099	486	531	439	369	177	351	132	259	143	94	73	77	host	yegU	0.615699760231248	0	1
gene-b1189	16352	17649	9724	9433	3124	4603	1879	3780	2723	2029	2652	2912	host	dadA	0.8382767885184433	0	1
gene-b4145	986	1225	1164	931	429	537	261	472	286	146	185	190	host	yjeJ	0.6754610543519419	0	1
gene-b2042	22692	26535	22693	18316	11580	14784	8903	15479	10646	6561	4632	4461	host	galF	0.5101138360376876	0	1
gene-b3782	1470	1894	1446	1303	775	899	499	1030	400	315	254	328	host	rhoL	0.5929920011070663	0	1
gene-b1915	1073	1474	1538	988	1065	1246	831	1606	753	474	285	255	host	yecF	0.4602025709931758	0	1
gene-b2497	10703	11403	6383	4690	1920	2315	6146	8003	16015	9023	4270	4102	host	uraA	0.5611090294193547	0	1
gene-b4415	22	17	9	7	6	18	1	5	7	2	5	8	host	hokE	0.7070141329498011	0	1
gene-b2447	34	85	63	37	16	30	17	36	34	16	14	26	host	yffP	0.5926306376355849	0	1
gene-b3989	268	341	606	415	223	371	232	399	177	105	63	100	host	yjaZ	0.5522645591115626	0	1
gene-b4789	495	554	437	390	173	227	83	180	103	48	85	118	host	yhgP	0.7107854351100915	0	1
gene-b0285	91	134	126	82	35	42	30	36	55	19	20	44	host	paoB	0.6374195619446961	0	1
gene-b3817	97	115	174	113	79	77	35	97	31	22	23	32	host	yigF	0.6086535133218642	0	1
gene-b1584	357	429	312	218	144	187	75	207	102	88	62	104	host	speG	0.6030683799299209	0	1
gene-b1693	1100	1470	914	842	336	539	219	399	265	182	210	234	host	aroD	0.7257139852127416	0	1
gene-b0299	250	307	270	160	112	137	76	139	97	70	53	91	host	insF1	0.5502626492989818	0	1
gene-b0840	1342	1414	1122	928	672	890	545	1020	549	382	247	288	host	deoR	0.4849127016660878	0	1
gene-b3049	733	833	535	378	155	194	90	142	100	78	172	178	host	glgS	0.8387650482631296	0	1
gene-b3876	60	99	96	51	38	44	32	45	43	22	26	30	host	yihO	0.4924501932803818	0	1
gene-b1494	544	979	1050	674	511	936	204	360	101	61	34	81	host	pqqL	0.788726528121026	0	1
gene-b1468	416	582	531	405	158	317	125	240	134	84	124	194	host	narZ	0.5933703949692023	0	1
gene-b1784	1066	1443	856	821	143	337	76	174	92	46	206	201	host	yeaH	0.9834558471395226	0	1
gene-b0455	231325	487099	333107	343907	195507	238742	418487	311681	256163	193923	141878	135673	host	ffs	0.3779243581612532	0	1
gene-b3682	22	41	51	19	11	22	16	22	24	8	13	32	host	glvB	0.5119981153636114	0	1
gene-b2835	1775	1898	1803	1592	694	947	522	865	536	365	388	412	host	lplT	0.5931893483686599	0	1
gene-T7p60	15	18	71	24	19	154	1696	3365	116326	70565	331059	393532	phage	gene-T7p60	1.7435182327446155	0	0
gene-T7p04	0	3	25	8	1948	2744	11096	19576	5712	3600	2819	3639	phage	gene-T7p04	1.2955697227178005	0	0
gene-b0386	345	367	281	217	134	132	103	167	126	74	89	92	host	proC	0.5507770949310544	0	1
gene-b1440	518	747	502	476	191	310	106	202	72	45	77	91	host	ydcS	0.7926191585725219	0	1
gene-b1574	36	39	29	23	21	15	7	19	20	5	11	15	host	dicF	0.5070338581725419	0	1
gene-b0026	35502	38929	36640	31248	14841	23951	12190	20836	13582	8868	6613	7019	host	ileS	0.5555118938667788	0	1
gene-b1238	1243	1592	1417	835	832	975	548	964	445	269	237	248	host	tdk	0.5537137270365543	0	1
gene-b3238	936	1177	1001	705	525	562	317	539	316	189	281	286	host	yhcN	0.5429431204529348	0	1
gene-b2465	10954	12864	9513	9164	3406	6068	1369	2663	989	554	1427	1623	host	tktB	0.8427772545452145	0	1
gene-b3287	4329	5147	4726	3824	2599	3231	1629	3254	1417	900	848	821	host	def	0.5560501887929099	0	1
gene-b0552	1093	1561	1162	876	443	717	491	868	527	372	262	300	host	insH2	0.5301857431025851	0	1
gene-b2475	3271	3636	2390	2086	790	1126	1005	1832	1004	606	596	653	host	ypfJ	0.6403996024835916	0	1
gene-b1334	8662	10715	10268	8615	4703	7460	3727	6395	3273	2229	1431	1648	host	fnr	0.5586902873852405	0	1
gene-b4790	487	550	338	248	99	144	94	196	222	157	198	203	host	yhiY	0.5648745182312218	0	1
gene-b2404	19005	16839	31586	23873	18802	23403	11172	19880	4759	3344	2457	2336	host	lysV	0.6339594872717803	0	1
gene-b4555	134	140	200	148	66	118	40	69	30	19	22	26	host	yicS	0.6946014792565538	0	1
gene-b1408	4	18	12	7	7	5	4	7	9	3	1	7	host	ynbA	0.6172133998483676	0	1
gene-b4005	22862	21666	18010	15281	4229	5641	5833	9767	9159	5945	2952	2787	host	purD	0.6725016991858973	0	1
gene-b1115	41	74	49	25	17	14	14	30	13	14	21	25	host	ycfT	0.6278682128619715	0	1
gene-b2444	38	43	42	19	12	18	8	22	17	9	3	12	host	yffM	0.6432797763018779	0	1
gene-b3528	628	736	909	868	481	837	464	1280	317	251	136	196	host	dctA	0.5597735893547264	0	1
gene-b3906	104	133	111	76	37	46	27	42	52	20	31	49	host	rhaR	0.5804575145664329	0	1
gene-b0824	25	41	33	13	9	5	4	10	18	7	8	15	host	ybiY	0.7142727800678519	0	1
gene-b3316	93760	100441	113243	77514	79046	114770	74414	155950	42466	28204	15370	15578	host	rpsS	0.5504597931206153	0	1
gene-b2177	823	994	585	517	277	307	222	321	258	189	183	221	host	yejA	0.626517039710677	0	1
gene-b1261	102812	101174	66750	56780	23042	30899	3646	6175	992	650	683	811	host	trpB	1.1472413493698816	0	1
