Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-b4263	34.15911900189702	25.12660370421751	183	663	15.812837448774877	13.851466271664474	7.721262426406717	11.486943526860454	3.0793537134542297	5.425541016660461	5.284424542981348	3.014990239698532	host	yjgR	2.2479376711650865	0	0	1
gene-b2374	2.912793093185017	4.5500892019709775	14	265	1.8071814227171288	5.334481540072095	1.4038658957103125	4.53431981323439	1.231741485381692	1.9148968294095745	0.960804462360245	1.0698352463446406	host	frc	2.8482557604697125	0	0	1
gene-b3053	166.29400568365372	60.0611774660169	970	1802	70.70597316380766	22.82309431633118	37.55341271025085	14.912874052415328	15.191478319707532	6.1374898378512	28.343731639627222	3.339182738590848	host	glnE	1.99057701942453	0	0	1
gene-b3618	41.83830079302116	36.50182670914495	192	1760	11.294883891982057	10.759891742759056	3.5096647392757805	6.180109967667613	6.979868417162921	3.633393984007911	5.764826774161469	3.6309559875939312	host	htrL	2.7723879806600285	0	0	1
gene-b1242	10.856774256416882	10.71798789797608	38	204	4.06615820111354	3.940242046644161	0.7019329478551561	2.5190665629079945	1.847612228072538	1.1538480895160257	1.92160892472049	0.615965747895399	host	ychE	2.370148951902153	0	0	1
gene-b2348	1.5887962326463732	3.842297548331048	7	72	1.8071814227171288	2.121668794346856	3.5096647392757805	0.8061013001305583	2.052902475636153	0.5155491463795009	2.4020111559006123	0.7456427474523252	host	argW	2.355223751003948	0	0	1
gene-b1300	108.56774256416882	39.68688915052464	926	2053	107.30139697382953	15.7912777407816	50.53917224557125	7.825900122100836	12.72799534894415	4.394442723901459	23.05930709664588	2.042412743021586	host	puuC	2.109757372998191	0	0	1
gene-b0064	10.327175512201425	8.139604016859193	32	270	4.06615820111354	8.547294285797333	3.860631213203359	5.91140953429076	1.847612228072538	3.11784483762841	3.362815618260857	1.6209624944615764	host	araC	2.481875829381811	0	0	1
gene-b3780	622.2785244531628	642.7253780517449	31809	28253	374.08655450244567	55.4058650866579	218.65211325688117	20.051769840747635	79.03674531199191	10.924731911375137	110.01211094024804	5.835464980061675	host	rhlB	2.148761145354987	0	1	1
gene-b1035	95.3277739587824	119.71790255852528	430	2875	59.86288462750489	15.185086656682495	29.13021733598898	4.83660780078335	8.82748064523546	2.700495528654528	12.970860241863306	2.139670492689281	host	ycdY	2.5716555116479194	0	0	1
gene-b1427	11.651172372740067	16.885886593981184	47	208	3.6143628454342576	2.909717203675688	0.7019329478551561	1.7129652627774363	0.615870742690846	1.0065483334075969	0.960804462360245	0.8104812472307882	host	rimL	2.301097491255355	0	0	1
gene-b1681	50.84147944468394	22.49766327641205	269	974	34.56234470946509	5.970982178376151	15.091558378885855	4.467144704890177	2.463482970763384	2.307696179032052	5.764826774161469	1.0698352463446406	host	sufD	2.321251398592854	0	0	1
gene-b2594	135.8420778912649	179.37462765103365	952	4291	125.3732112010008	22.550308328486583	83.53002079476359	7.322086809519237	26.482441935706376	3.436994309196672	33.62815618260857	1.3291892454584926	host	rluD	2.4027437434051775	0	0	1
gene-b1378	285.98332187634713	196.66496661852332	1190	5018	145.25220685088922	30.76419751802941	67.03459652016741	14.341885631489514	25.4559906978883	8.666135651045895	41.31459188149053	5.803045730172443	host	ydbK	2.3442713861892184	0	0	1
gene-b1937	2.6479937210772886	1.0111309337713283	9	60	0.4517953556792822	1.363929939222979	0.0	1.2091519501958374	0.0	0.736498780542144	0.0	0.5187079982277044	host	fliE	2.546962559590385	0	0	1
gene-b4794	6.090385558477763	12.083014658567372	34	281	3.840260523273898	3.6068369503896553	0.0	0.9404515168189846	0.615870742690846	0.4418992683252864	0.4804022311801225	0.3241924988923153	host	baxL	2.678302044856538	0	0	1
gene-b1820	4.766388697939119	7.886821283416361	50	238	2.258976778396411	2.940026757880643	1.4038658957103125	1.7465528169495428	1.0264512378180766	0.6137489837851201	0.0	0.2917732490030837	host	yobD	2.5207209685629373	0	0	1
gene-b0715	10.591974884309154	13.3974848724701	76	447	9.035907113585644	9.062556707281573	2.105798843565468	5.575533992569694	1.4370317329453073	3.019645000222791	4.323620080621102	1.5885432445723449	host	abrB	2.504664251000515	0	0	1
gene-b3554	232.49384871058592	194.5415916576036	1026	4843	88.77778739097894	15.609420415551869	52.99593756306429	8.027425447133476	24.018958964942996	4.811792032875341	41.31459188149053	2.9825709898093007	host	yiaF	2.4324404239569666	0	0	1
gene-b2208	3.1775924652927463	5.8140028691851375	23	151	1.3553860670378466	4.061480263463982	0.7019329478551561	3.459518079726979	0.2052902475636153	1.2029480082188353	0.4804022311801225	0.6808042476738622	host	napF	2.525121567928862	0	0	1
gene-b4514	0.0	0.8594612937056291	0	36	0.0	1.1820726139932485	0.0	0.6045759750979187	0.0	0.4664492276766912	0.0	0.5187079982277044	host	ybfQ	2.987397322517592	0	0	1
gene-b2835	35.48311586243567	28.867788159171425	328	933	35.24003774298401	12.15413123618699	22.81282080529257	8.564826313887181	7.801029407417382	4.713592195469722	10.568849085962697	3.371601988480079	host	lplT	2.1817552599182144	0	0	1
gene-b4290	6.355184930585493	14.509728899618562	45	357	4.743851234632463	6.91057835872976	7.37029595247914	4.870195354955456	1.0264512378180766	3.633393984007911	1.92160892472049	1.4588662450154188	host	fecB	2.5565122979639403	0	0	1
gene-b0378	38.39590895562068	35.54125232206219	159	886	15.135144415255953	8.244198743747782	12.634793061392813	6.381635292700253	2.463482970763384	2.995095040871386	5.284424542981348	2.042412743021586	host	yaiW	2.466140073909143	0	0	1
gene-b0455	1955.2785636434696	2134.446844644586	13270	161746	3102.7046051274706	3699.2204716063584	3780.610857147871	4383.780395435008	4910.337431474115	4080.669693431155	8003.02076922966	3865.5092605425216	host	ffs	2.426870753551146	0	1	1
gene-b2464	92.94457960981282	49.039850287909424	563	1612	63.47724747293915	9.032247153076616	22.11088785743742	4.803020246611243	8.416900150108228	2.5286458131946947	10.568849085962697	1.167092996012335	host	talA	2.2164937063385937	0	0	1
gene-b4436	9.26797802377051	15.26807709994706	52	501	14.005656026057748	15.579110861346914	9.12512832211703	10.84877999759043	9.23806114036269	7.094938252555988	5.764826774161469	5.31675698183397	host	sibA	2.4777523699410087	0	0	1
gene-b4222	98.50536642407512	65.67295414844777	362	1365	33.658753998106526	9.608128682970762	17.197357222451327	3.25799275469434	5.5428366842176136	32.08679687228608	11.52965354832294	1.2643507456800296	host	ytfP	2.2363009048818663	0	0	1
gene-b0476	7.414382419016408	12.234684298633072	50	410	4.743851234632463	174.27993667849174	7.721262426406717	10.815192443418322	1.847612228072538	2.995095040871386	6.725631236521714	0.8753197470092513	host	aes	2.0204587314276576	0	0	1
