Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-AUO97_RS15165	983	709	266	252	96	69	host	gene-AUO97_RS15165	0.8486709309446572	0	1
gene-AUO97_RS06115	142	99	23	45	22	14	host	gene-AUO97_RS06115	0.820699441963419	0	1
gene-AUO97_RS03655	0	1	0	0	0	0	host	gene-AUO97_RS03655	2.2360679774997902	0	1
gene-AUO97_RS12785	0	0	0	0	0	0	host	gene-AUO97_RS12785	0.0	0	1
gene-AUO97_RS19240	702	598	214	298	126	121	host	gltS	0.6612409587346475	0	1
gene-AUO97_RS19160	1	1	0	3	0	1	host	gene-AUO97_RS19160	1.0	0	1
gene-AUO97_RS01305	2539	1841	760	940	369	304	host	gene-AUO97_RS01305	0.7186261118511279	0	1
gene-AUO97_RS17095	31	18	11	11	2	4	host	gene-AUO97_RS17095_gene_pcaD	0.7520142177560221	0	1
gene-AUO97_RS03895	35	25	5	6	6	3	host	gene-AUO97_RS03895	0.9130991183874837	0	1
gene-AUO97_RS09415	16	14	8	8	2	3	host	gene-AUO97_RS09415	0.6065767960101184	0	1
gene-AUO97_RS17400	87	79	29	43	16	8	host	gene-AUO97_RS17400	0.6857069670319047	0	1
gene-AUO97_RS07105	2866	2182	852	908	536	343	host	ileS	0.7183545463818767	0	1
gene-AUO97_RS19705	0	0	0	0	0	0	host	gene-AUO97_RS19705	0.0	0	1
gene-AUO97_RS09020	7	4	6	4	1	2	host	gene-AUO97_RS09020	0.5204164998665332	0	1
gene-AUO97_RS11005	5813	4701	1862	2085	1248	870	host	nuoL	0.6641778124293951	0	1
gene-AUO97_RS05640	281	223	62	80	55	28	host	recJ	0.7820337755019555	0	1
gene-AUO97_RS04290	14469	12046	5340	6084	3932	2758	host	rpsK	0.5785109083606513	0	1
gene-AUO97_RS05995	0	0	0	0	0	0	host	arsH	0.0	0	1
gene-AUO97_RS06720	9	2	3	2	5	0	host	gene-AUO97_RS06720	0.8206518066482898	0	1
gene-AUO97_RS02390	364	298	196	231	44	31	host	gene-AUO97_RS02390	0.6318656978390049	0	1
gene-AUO97_RS12080	471	337	152	174	106	77	host	metH	0.6358400436386203	0	1
gene-AUO97_RS05535	2713	2212	841	1018	591	435	host	omp33-36	0.655595340010774	0	1
gene-AUO97_RS14875	475	325	94	106	81	57	host	dapC	0.8204520751048391	0	1
gene-AUO97_RS17010	290	191	120	131	47	44	host	gene-AUO97_RS17010	0.6200330182868331	0	1
gene-AUO97_RS04730	137	111	20	36	18	14	host	gene-AUO97_RS04730_gene_yccS	0.8775473125218296	0	1
gene-AUO97_RS04120	811	600	217	261	143	82	host	miaB	0.7466836097708268	0	1
gene-AUO97_RS10330	27	29	9	17	4	1	host	mazG	0.7425145011268603	0	1
gene-AUO97_RS10450	4339	3514	1806	2180	1112	830	host	pheT	0.5467451190897082	0	1
gene-AUO97_RS16550	15	15	3	6	1	6	host	adeS	0.7130964985589879	0	1
gene-AUO97_RS19535	45	30	15	32	7	9	host	gene-AUO97_RS19535	0.5966721405866349	0	1
gene-AUO97_RS11170	762	543	227	258	139	100	host	ffh	0.7005808061573319	0	1
gene-AUO97_RS10535	46	42	12	18	11	6	host	gene-AUO97_RS10535	0.6950737889004742	0	1
gene-AUO97_RS17545	12	11	10	13	3	0	host	gene-AUO97_RS17545	0.5974400476858958	0	1
gene-AUO97_RS05455	1474	1068	491	642	317	279	host	gabT	0.6027752624246385	0	1
gene-AUO97_RS05310	31	27	16	20	9	10	host	gene-AUO97_RS05310	0.43290530296053126	0	1
gene-AUO97_RS00140	313	233	72	78	36	30	host	gene-AUO97_RS00140	0.8440758802352131	0	1
gene-AUO97_RS06555	114	79	24	22	14	9	host	gene-AUO97_RS06555	0.8934885428030249	0	1
gene-AUO97_RS12035	1	0	0	0	1	0	host	gene-AUO97_RS12035	1.4142135623730951	0	1
gene-AUO97_RS19355	58	48	26	39	17	11	host	gene-AUO97_RS19355	0.5037422141108647	0	1
gene-AUO97_RS06525	97	77	10	23	11	5	host	gene-AUO97_RS06525	0.9716465436419154	0	1
gene-AUO97_RS15955	76	48	13	15	13	14	host	gene-AUO97_RS15955	0.8094391796329089	0	1
gene-AUO97_RS17500	402	325	110	129	54	59	host	ftsY	0.7471747800683943	0	1
gene-AUO97_RS00760	41	36	17	25	5	7	host	gene-AUO97_RS00760	0.621516573109462	0	1
gene-AUO97_RS08725	147	103	44	65	26	23	host	phoU	0.6532678921159875	0	1
gene-AUO97_RS11565	196	162	77	94	22	32	host	aat	0.6547486837983353	0	1
