Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-EST35_0178	0.0	0.0	0.0	0.0	0.9003817618670316	51.35085300130197	2.59059422288345	137.58372501920303	1643.1339618379045	729.9996272575585	83.28821888143922	482.51567297334304	1487.258806848314	phage	gene-EST35_0178	1.5739763263109	0	0	0
gene-EST35_0363	0.0	0.0	0.0	0.0	328.3692285529064	332.6706557548324	19.20087482843028	1752.4243936600662	2913.4277494002736	1130.1496012752175	2779.34894969866	3501.7855813331125	4571.485833755752	phage	gene-EST35_0363	1.1555027241126397	0	0	0
gene-EST35_0378	0.0	0.0	0.0	0.0	6697.489735647914	4912.515608735505	100.7283989015271	14206.33986096534	16411.964307987244	15880.883574994685	2788.4421254942604	3501.5252545605344	8825.035610009714	phage	gene-EST35_0378	1.073613196216747	0	0	0
gene-EST35_0434	0.0	0.0	0.0	0.0	328.72938125765324	503.5935238139211	31.5442943609926	481.3607591821825	529.8609189090785	649.695557129357	149.9056154709448	109.72773464163156	255.5982058671761	phage	gene-EST35_0434	0.9824542521205388	0	0	0
gene-EST35_0210	0.0	0.0	0.0	0.0	16.74710077072679	47.65122382253382	5.4859642366943655	578.2599486631157	1447.9007994872002	330.3978038892385	14924.668968865491	23471.97295933748	13737.492573791944	phage	gene-EST35_0210	1.792740076194361	0	0	0
gene-EST35_0282	0.0	0.0	0.0	0.0	266.5130015126413	562.1956500056086	21.33430536492253	1163.811032727355	1692.9177454835008	1242.6575220521006	1431.648047181195	1553.8905055181465	2136.145087120076	phage	gene-EST35_0282	0.9724007004762968	0	0	0
gene-EST35_0106	0.0	0.0	0.0	0.0	0.2701145285601095	33.29666260891339	1.981042641028521	6.634933215022509	196.3095684835819	130.04874155573924	29.32219731189909	148.64658714204418	287.7431940795959	phage	gene-EST35_0106	1.425711915147817	0	0	0
gene-EST35_0201	0.0	0.0	0.0	0.0	3.6915652236548295	3.84761434591888	1.5238789546373237	5.249617488809019	6.189335264047133	7.948184415419258	39.14019146801812	73.54231325328806	12.623740310140573	phage	gene-EST35_0201	1.7297335816238828	0	0	0
gene-EST35_0137	0.0	0.0	0.0	0.0	5.762443275949002	115.13246004326494	21.33430536492253	639.0680179084868	1013.3018233378036	86.88187792027259	3775.381162208024	5922.954729694902	5380.316205173521	phage	gene-EST35_0137	1.6136189646568284	0	0	0
gene-EST35_0428	0.0	0.0	0.0	0.0	10235.269754375857	5718.44282903836	756.4535130819675	15690.15882644801	4709.27683134021	7194.751347902447	3263.3299367905674	1351.3562764524545	2348.9266892549194	phage	gene-EST35_0428	1.164052669206212	0	0	0
