"","0_R1","0_R2","0_R3","1_R1","1_R2","1_R3","4_R2","4_R3","7_R1","7_R2","7_R3","20_R1","20_R2","20_R3"
"gene-T4p104",0,0,3449.82424384702,10029.2411373069,8419.4834955047,4501.55559194144,632.358421523042,298.312575331287,1386.38166292303,1316.93595480805,1016.68037762004,3662.7586140541,3078.86227017602,3846.28122804517
"gene-T4p136",0,5446.81834389795,7773.02171398442,64387.3573347399,100430.576756592,118839.378488195,3496.65670212577,4626.00269394837,1775.32150341203,2098.31994843239,2235.16670430357,6425.43216220501,5798.9162640385,8925.73766825094
"gene-T4p024",0,0,436.686613145192,174.260382053022,237.439702236032,185.805296477883,1067.38360146007,1030.33818966141,904.319487780068,1030.95434772614,993.629974716921,277.535957199373,258.865941380399,260.48705730359
"gene-T4p077",0,1361.70458597449,2751.12566281471,1049.26996002139,847.082180950169,532.078803550301,707.056653196482,512.040319176234,1135.91756604962,1130.30024587257,857.166335877374,2285.702400171,2216.38585284377,2909.66431286537
"gene-T4p145",0,1361.70458597449,349.349290516154,2917.9344824623,2611.83672459635,1173.95164592844,15.7191061434544,8.25349439885839,16.8669702749806,13.3831915471013,7.0924316624981,920.553926459391,898.849309686501,1114.58483513968
"gene-T4p051",0,12255.3412737704,2794.79432412923,912.086255000922,834.247602450924,869.90661532827,7420.28416616465,6361.28640520639,11025.542823773,10288.1789689676,10153.1771135155,3502.74349122687,3459.74696378684,2658.81272369472
"gene-T4p218",3902.57888904032,9531.93210182141,2314.43904966952,15442.4359840603,29628.624465507,31966.9566894903,4827.41111230344,5228.66961828854,5096.44877397579,5157.81847078459,5144.21292253976,2367.8502416808,2465.60998546481,2134.54443194807
"gene-T4p156",0,1361.70458597449,3799.17353436317,30087.7234119207,24366.4472808166,12685.4343322627,418.396704016684,323.774335829726,909.775223844321,914.86076853753,690.428521145127,4115.44731148824,3424.20526184289,6059.30943034112
"gene-T4p278",0,1361.70458597449,2794.79432412923,489.412136829763,474.879404472064,236.479468244578,1743.91141214654,766.550035344952,5447.82316461779,4949.87432838026,3997.89865508851,5011.75770158543,5422.985465273,3925.34147939245
"gene-T4p241",0,1361.70458597449,1179.05385549202,18390.0318081487,37528.3075317923,44179.4320852639,4018.8514706765,5459.4977394174,1504.20057380678,1611.45962688581,2199.37619267337,411.828804688863,488.473980318627,514.715178042188
"gene-T4p003",3902.57888904032,4085.11375792346,2663.78834018567,489.412136829763,372.202776478104,540.52449884475,3930.81581560862,3072.34980387308,6205.00436602377,6248.099983274,5649.81136114692,4530.77839269813,4446.50297126551,3231.99954596251
"gene-T4p109",0,2723.40917194897,917.041887604904,1045.56229231813,866.334048699036,472.958936489157,1777.29827395537,1560.07227460774,1899.8039087254,2215.62848216089,1963.97969920833,756.958698744001,742.319531620881,878.392334239676
"gene-T4p106",0,1361.70458597449,1921.42109783885,4030.23479343903,3080.29883981879,1469.55098123416,2078.64609668897,1370.94318073586,3070.49658632961,3022.99381133057,2608.47159120607,1983.65050732446,1948.77578834713,1883.69284277743
"gene-T4p155",0,5446.81834389795,16681.4286221463,75973.8189074142,57742.7686681032,29247.4428046777,475.816909929137,292.594468100705,970.371376313696,931.421533496652,608.635709704003,16046.4581647431,13963.6996643071,20261.7423950236
"gene-T4p069",3902.57888904032,4085.11375792346,1528.40314600817,11623.5382497069,23814.5604053491,30742.3308717952,3609.89489101043,4404.18328892807,1469.09228753071,1612.76803946723,2227.08921268794,422.257805884801,489.770637358677,495.526596204775
"gene-T4p225",3902.57888904032,4085.11375792346,2489.1136949276,5142.53510441577,4222.5763262516,4053.93374133563,3359.86150568728,3918.30600755214,2496.9363032999,2890.45161683267,2903.13585851745,1893.40851563274,1848.10200585293,2164.60379834574
"gene-T4p031",3902.57888904032,1361.70458597449,4061.18550225029,830.517565529295,795.743866953189,641.872842378141,3561.09204631712,2991.75685856658,4923.03133144488,4829.93027788061,4626.33406985032,4676.04503995349,4683.4919810471,4195.79342254294
"gene-T4p124",3902.57888904032,2723.40917194897,742.367242346827,463.458462906973,532.635007718667,633.427147083692,3280.7896384202,2524.54434230179,2830.19431846137,3001.83491072817,2919.71770106172,831.129132622577,742.818245867054,729.989654106552
"gene-T4p033",3902.57888904032,4085.11375792346,4366.86613145192,3277.57824967811,2515.57738585202,2516.81719774587,10008.8701910776,11197.3486232669,8291.76094034025,9258.49565060632,9446.13391449434,3484.25925403257,3933.9244690485,3275.15326648956
"gene-T4p128",0,2723.40917194897,1179.05385549202,1590.58944469673,3471.75348404577,6334.27147083692,5012.27299694919,6440.31496268565,1389.33858857618,1392.28182788957,1895.41952647085,184.80345775937,184.88999486468,226.886450480996
"gene-T4p094",0,8170.22751584692,1659.40912995173,84412.4706000244,159591.566348862,203693.279111526,4936.92521543511,8864.63059522876,1237.4109155808,1448.63702693218,2058.02008939997,202.548325465892,243.838018762375,264.604778727928
"gene-T4t001",0,0,2751.12566281471,2372.9073300837,2002.19424588222,1469.55098123416,879.490484224679,1022.94780578792,637.821357435376,670.038082945446,631.095076635247,3461.57228501305,3361.16778112657,3038.54899344713
