"","0_R1","0_R2","0_R3","1_R1","1_R2","1_R3","4_R2","4_R3","7_R1","7_R2","7_R3","20_R1","20_R2","20_R3"
"gene-b1202",237.101619636853,247.842571676078,220.332486053776,303.497474662063,295.090060101395,261.290276357973,224.542395436818,253.764948405297,197.322210157786,241.786227515313,264.234600065092,251.932007004909,215.521250123647,240.581550821508
"gene-b4305",123.440865518852,101.050690711621,125.824389243908,154.357340403112,165.037482067017,118.571725409342,89.8169581747271,97.8943433923055,105.708326870242,132.849575557864,118.535147692752,80.8083796053481,102.935522447115,115.060741697243
"gene-b0941",72.6900171684889,69.5452790578827,60.9549263448264,79.8772251037085,81.3779289454877,79.6484842415338,73.9118718312858,70.3318583595205,81.0430506005192,74.3957623124039,103.718254231158,80.8083796053481,83.6351119882808,62.7604045621324
"gene-b4426",8.98712939537681,5.83433549143311,8.38829261626051,12.0535452296137,10.1405518935187,11.8932125790526,12.162713086161,7.60344414697519,3.52361089567475,7.97097453347184,9.87792897439596,14.2603022832967,12.8669403058894,31.3802022810662
"gene-b2133",2950.42171503518,3714.13797384632,3690.84875115463,3427.16472573344,3815.12913613908,3482.5488833753,5210.31916744849,5542.91078314491,6606.77042939015,5643.44996969807,7351.6486391942,3817.00757782909,4194.62253971993,3776.08434115497
"gene-b3615",3461.10212656071,2286.59276580246,4466.48620840485,2066.3734404081,1684.09215571612,3526.51772987968,1264.92216096074,2458.7637510281,2036.6470977,1857.23706629894,3136.24244937072,2215.10028800542,1833.53899358923,4016.66589197647
"gene-b2247",41.4993916198282,32.6722787520254,29.6386339107871,31.3032368649668,24.0838107471069,21.9844232521881,49.5864456589639,55.1249700655701,70.4722179134949,62.4393005121961,59.2675738463758,28.5206045665934,51.4677612235574,31.3802022810662
"gene-b1383",82.4701285693401,75.1462411296584,82.7644871471037,119.635933995419,125.99635727697,111.363717785674,68.2983119453654,76.9848719881238,56.3777743307959,81.0382410902971,56.7980916027768,104.575550077509,61.1179664529744,73.2204719891545
"gene-b4410",290.231414003639,347.959768709071,400.401167549502,516.503408271953,628.460703600822,544.20457558695,1041.31535883824,985.596447551658,725.863844508998,729.344169812674,661.82124128453,237.671704721612,350.624123335485,397.482562226839
"gene-b1704",519.13888625059,575.965599714276,549.153556611188,443.462522253697,477.366480387393,489.063317265889,915.945854719352,938.074921633064,644.820793908479,628.378492388697,471.671108527407,575.165525426301,675.514366059191,669.444315329412
"gene-b3039",223.620925543788,221.704748674458,245.497363902558,322.92706995756,320.187926037853,261.290276357973,259.15934806666,268.971836699247,221.987486427509,260.385168093414,234.600813141904,294.712913854799,225.171455353064,115.060741697243
"gene-b1078",8149.74039759582,7836.67943209295,9173.99602465025,9775.96489219711,7144.27232278127,9033.43555436219,10514.197666329,13817.3588760907,12498.2478469583,9217.10355220461,13028.9883172283,11360.707485693,9203.07905378736,10460.0674270221
"gene-b4419",151.195235710457,173.863197644707,159.9367792167,153.098014782108,161.234775106948,187.04779783419,261.030534695301,286.079586029941,267.794428071281,273.6701256492,311.154762693473,180.630495588425,167.270223976562,135.980876551287
