Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol
gene-AUO97_RS17390	369	282	84	85	53	47	host	gene-AUO97_RS17390
gene-AUO97_RS19280	0	0	0	1	0	1	host	gene-AUO97_RS19280
gene-AUO97_RS06690	230	239	119	146	94	59	host	gene-AUO97_RS06690
gene-AUO97_RS03065	55	47	9	18	11	3	host	pilG
gene-AUO97_RS09945	956	648	187	235	132	92	host	hisS
gene-AUO97_RS16980	37	30	14	9	4	1	host	gene-AUO97_RS16980
gene-AUO97_RS06640	7	6	5	1	1	0	host	gene-AUO97_RS06640
gene-AUO97_RS18895	29	19	5	8	4	0	host	gene-AUO97_RS18895
gene-AUO97_RS13215	0	0	1	0	0	0	host	gene-AUO97_RS13215
gene-AUO97_RS04875	1017	713	198	222	101	96	host	gene-AUO97_RS04875
gene-AUO97_RS14555	6	12	4	9	2	1	host	epsC
gene-AUO97_RS15605	0	0	0	0	0	0	host	gene-AUO97_RS15605
gene-AUO97_RS08560	402	296	105	82	63	54	host	ribD
gene-AUO97_RS08860	16543	13587	7501	9093	5891	4258	host	rplJ
gene-AUO97_RS00520	2	7	4	4	0	0	host	gene-AUO97_RS00520
gene-AUO97_RS13510	92	75	28	30	12	7	host	gene-AUO97_RS13510
gene-AUO97_RS01365	138	110	31	46	14	9	host	gene-AUO97_RS01365
gene-AUO97_RS08930	287	216	74	58	31	36	host	gene-AUO97_RS08930
gene-AUO97_RS15790	75	56	29	22	28	23	host	gene-AUO97_RS15790
gene-AUO97_RS13045	16	13	7	7	3	2	host	gene-AUO97_RS13045
gene-AUO97_RS09330	240	168	72	88	61	32	host	hemH
gene-AUO97_RS08155	0	0	0	0	0	0	host	gene-AUO97_RS08155
gene-AUO97_RS12360	368	295	264	278	153	109	host	gene-AUO97_RS12360
