Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b0680	2119	16021	2645	49437	1651	2944	603	3541	304	572	270	204	host	glnS
gene-b2513	1070	4256	1739	5012	669	438	259	279	158	111	105	47	host	yfgM
gene-b4810	495	1995	771	3099	766	8340	524	3101	254	1776	246	1282	host	ftsO
gene-b0037	47	400	57	565	34	390	6	259	6	139	3	51	host	caiC
gene-b3324	10	76	23	236	11	221	1	139	3	103	1	53	host	gspC
gene-b0720	4527	12319	6312	12439	2791	1565	810	555	645	537	356	220	host	gltA
gene-b1394	8	27	8	78	5	95	2	71	1	69	0	21	host	paaG
gene-b2967	285	199	58	277	32	215	13	42	16	25	8	12	host	pheV
gene-b0931	1054	12563	1903	10541	643	1044	259	365	121	281	96	122	host	pncB
gene-b1728	6	65	21	134	5	98	6	52	1	51	0	26	host	ydjM
gene-b0699	24	167	23	262	17	112	6	82	10	62	8	29	host	ybfA
gene-T4p127	0	0	173	22711	4610	80207	129	7689	264	4900	31	11109	phage	e.4
gene-b2456	1	9	2	33	0	53	0	49	0	15	1	6	host	eutN
gene-b2078	48	195	39	218	18	160	8	133	2	75	3	31	host	baeS
gene-b2462	2	9	12	40	2	47	1	41	0	37	0	11	host	eutS
gene-b3438	148	1592	265	1284	80	671	52	347	22	213	23	76	host	gntR
gene-b0271	34	185	39	382	19	314	13	232	4	139	5	62	host	yagH
gene-b0641	1008	4037	1270	5356	557	478	205	133	143	135	116	68	host	lptE
gene-b4773	11	29	3	24	1	28	1	20	1	7	2	6	host	ynaN
gene-b2103	46	223	76	319	45	187	17	128	19	77	8	28	host	thiD
gene-b2452	5	109	11	243	4	342	3	217	3	120	2	24	host	eutH
gene-b3542	1596	528	3316	2654	1894	623	503	299	168	229	116	88	host	dppC
gene-b1736	30	67	31	114	9	86	3	59	4	25	4	13	host	chbA
gene-b2876	4	56	13	162	5	142	2	97	4	63	0	25	host	yqeC
gene-b0893	3192	15097	3513	19568	1431	1904	519	483	303	418	306	220	host	serS
gene-b1581	8	70	4	133	1	158	4	137	3	67	0	20	host	rspA
gene-b3186	8625	39961	11036	54795	7028	6518	2303	980	1597	856	1155	444	host	rplU
gene-b3197	488	2279	715	2456	239	442	117	219	69	164	40	68	host	kdsD
gene-b4781	57	535	94	393	27	94	1	22	2	25	0	8	host	evgL
