"Geneid","2.5_R1","2.5_R2","5_R1","5_R2","10_R1","10_R2","20_R1","20_R2","30_R1","30_R2"
"gene-T4p153",1103.10427649394,4184.56257381973,59.5150607910062,1506.64539138349,2006.10894633332,2937.15546835483,15873.7458160275,28489.9425433447,133380.99530852,41034.0424982125
"gene-T4p223",52397.4531334624,25277.8906674379,23319.0829099306,14034.7548702087,56198.0870060437,10433.6624832735,7781.28876066596,5634.97795198383,26546.3461456247,6841.48260850131
"gene-T4p163",3125.46211673284,5525.38723174231,56.8098307550514,1955.0453082965,275.772388849055,2523.34037296805,12967.0801067136,19618.7558401575,98467.7112683579,49150.8890643027
"gene-T4p132",6894.40172808715,4458.67571091074,12122.1357911136,9318.06810827054,8197.46944108171,13807.1304080493,23597.7962616157,17704.8200633061,23545.028745681,21558.9498458711
"gene-T4p140",643.477494621468,804.990478545753,13.5261501797741,306.638364445544,54.0730174213833,729.45988807884,3993.15299915411,7265.08951490865,10375.983011234,12301.6220070362
"gene-T4p043",7445.95386633412,5580.9038164696,23870.9498372654,11707.3371782333,8224.5059497924,12539.0973315758,8686.6948355328,9577.5848512191,5218.61719337154,8750.11274270224
"gene-T4p121",83743.9996571653,28250.5063693092,14289.0250499134,15423.3860265126,62248.8576554965,21078.8910586969,46258.9655492312,29593.9120049654,148118.076255998,41317.45671101
"gene-T4p268",351522.56277607,62490.8556836595,52603.1980491416,42327.9228051877,33157.5742827923,13854.7384599348,7225.55675609251,2598.09839280349,10584.2376879648,3511.36560813032
"gene-T4p249",6067.07352071669,10853.4923141858,2058.68005736162,5959.4931365637,4574.57727384903,6358.11782198064,27179.8740888475,52343.0354636259,270853.582501044,118251.970952117
"gene-T4p202",3952.7903241033,1589.16223781877,8967.83756919025,16437.387449576,51834.394500138,23019.7997515571,10030.2341949042,12255.6323349232,14859.5836984969,8182.08000742107
"gene-T4p215",5055.89460059725,6288.74027174259,4674.63750212994,4362.28288076947,10349.5755344528,6660.58234255165,4951.63460254763,3399.86226731147,2707.31079750026,2118.38073786483
"gene-T4p003",3493.16354223082,3031.60207314398,4569.1335307277,10426.1558610608,26198.3769406602,23123.0830908505,13024.3184217914,10201.3656445008,5071.61389214981,6320.61866925939
"gene-T4p261",81170.0896786794,42420.1232533664,13842.6620939808,5324.72643984633,2211.58641253458,1699.91423450896,1310.23706696248,2563.21331358479,2107.04731751151,2393.16406457859
"gene-T4p183",459.626781872477,848.114968467847,10.8209201438193,311.694827463491,167.626354006288,3094.86424166533,5475.10501134995,12102.7506988005,14957.5858993114,15814.9947979767
"gene-T4p244",1838.50712748991,809.451632675625,3530.32519692105,7025.77477547342,49520.0693545028,17349.3285405817,12284.3831123313,19126.0164492668,18889.9242069928,27213.3845404315
"gene-T4p189",551.552138246972,652.319870545697,27.0523003595483,238.737289633103,81.109526132075,1404.153473034,4317.85035014084,9647.45383424352,7680.92248883558,11284.5824771176
"gene-T4p103",1011.17892011945,1230.2871722602,384.142665105585,3593.15873814663,12279.9822563962,10780.0991185931,20027.1660973994,18347.674001883,46024.2835575044,22662.2982366275
"gene-T4p173",1562.73105836642,11055.7313014067,75.7464410067351,3074.23922092975,200.070164459118,4298.70030306647,25965.3811125606,61660.5140018036,332790.973415801,146141.374663017
"gene-T4p050",1838.50712748991,2038.74743735141,3973.98292281764,6879.2276419354,23911.0883037357,25545.8670773778,7663.69004059704,4258.45027935699,2278.55116893687,3385.715964213
"gene-T4p109",643.477494621468,698.914147013246,4071.37120411201,3536.36382317718,3904.07185782388,2915.22622249825,776.359691782373,1083.41394752015,1078.02420895938,1240.84041325378
"gene-T4p275",120146.440781465,12782.1979496671,8194.14177890717,5442.01832306623,1054.42383971697,2860.119050268,384.017059340075,583.559186363811,551.262379581501,1126.43099307347
"gene-T4p200",1562.73105836642,2841.25949693612,346.269444602218,5236.23833703225,29626.6062451759,22882.7703707124,22465.5183197133,40865.4491023254,57845.7990307522,53585.1573285542
"gene-T4p014",643.477494621468,391.590195844301,930.59913236846,3345.93381416197,10311.7244222578,8286.75522700404,5620.80254063887,5367.06449656769,2425.5544701586,3238.99090078878
"gene-T4p017",8089.43136095559,4939.98467314469,14849.007667356,14242.6116178393,18265.8652849433,19670.5335333484,10682.750986791,11135.0603426829,5941.3834243784,6765.20966171444
"gene-T4p038",177691.7138719,27451.4640962699,10358.325807671,5992.81161609268,21023.5891734338,10731.1275902813,4972.44853530319,4761.368602711,13536.5539875013,6157.03327022965
"gene-T4p124",3860.86496772881,1213.43392332513,10669.4272618058,14770.9217092324,7754.07069822637,4335.62778961252,1824.3412060248,1756.21173596466,2131.54786771514,2435.31490359238
"gene-T4p184",1470.80570199193,2614.23632010487,67.6307508988707,1095.26600728046,492.064458534588,5363.46176898342,17628.3603473212,36947.4495252586,31434.2059112474,41965.1746038554
"gene-T4p194",2114.28319661339,2177.53889916964,43.2836805752772,681.177803703528,297.401595817608,1390.06421662874,5283.6168299988,9621.66061703083,47041.0563909547,23888.486215367
"gene-T4p023",1286.95498924294,1235.73969397448,2001.87022660657,1666.46574034363,340.660009754715,765.705636411729,405.871688733412,518.63143269048,220.5049518326,1031.49124615192
"gene-T4p144",2114.28319661339,2877.4444137673,121.735351617967,989.622047798339,1249.08670243395,2460.27958825095,9404.77551559961,12920.9194547541,71798.862371715,28229.019042383
"gene-T4p147",275.776069123486,1425.58658639014,21.6418402876386,592.689700889443,356.88191498113,1550.72718886293,4491.64668864976,7558.69736295046,13830.5605899448,13508.9424673599
"gene-T4p085",5423.59602609523,2079.39350831246,8480.89616271838,5560.30344009322,20969.5161560125,6301.64717332407,2205.23617545154,1545.81419019521,1800.79043996624,1191.66443440435
"gene-T4p192",459.626781872477,1090.00865906534,18.9366102516838,367.767390573233,86.5168278742133,1166.45408271299,3761.07764892962,12307.8117168708,10780.2420895938,16096.8032645261
"gene-T4p012",127868.170716923,43697.5003858863,17180.9159583491,11508.8710047789,15556.807112132,9132.90597256839,5275.29125689658,4264.67622833936,4777.60728970634,3485.87438644102
"gene-T4p128",60578.8098507924,31635.5309862974,14486.5068425381,5285.35826349231,762.429545641505,643.106381078853,452.703037433421,767.175269050342,477.760728970634,1192.66802580944
"gene-T4p061",275.776069123486,430.749215428731,2826.96538757279,9469.85229279144,9841.28917069176,12573.6387343758,4408.39095762752,10048.9781313132,8611.94339657323,7484.38326260222
"gene-T4p021",82640.8953806713,22044.0496070731,5218.38873935686,2228.90695710785,173.033655748427,415.06494877757,81.1743377466824,236.98135967831,122.502751018111,903.232264581367
"gene-T4s001",2757.76069123486,17334.5578973051,6254.49184312756,14188.8866982736,63687.1999189053,31549.3674054809,60202.2191021806,69987.0784059135,117921.148130034,148320.974476592
"gene-T4p234",4963.96924422275,2862.07821620885,2461.75933271889,15609.0304544572,122118.502544452,47374.2156784062,41562.3016229392,42449.211933937,151315.398057571,49122.7885049602
"gene-T4p232",2941.61140398385,1129.66336244198,1885.54533506051,2660.60248726513,19585.246910025,9743.28891941567,6390.91805259457,5735.97667992013,15974.3587327617,8267.58599513478
"gene-T4p269",343157.355345991,22623.008276372,26089.2384667483,3036.49633626007,3601.26296026413,1647.19314602476,2422.74177274714,581.582694623375,2842.06382362018,1204.91184095154
"gene-T4p148",827.328207370458,686.026368415839,13.5261501797741,230.159361299084,481.249855050312,818.085855789353,4063.92037052301,4963.36605858358,27820.3747562131,8048.60235054405
"gene-T4p008",69679.4201318675,25831.5694633343,12354.7855742057,10584.3509183366,2314.32514563521,4773.07647638877,2079.3118822804,1488.39710513554,980.022008144891,1388.56906808309
"gene-T4p100",114906.695468119,41295.4167288465,11594.6159341024,5639.13008678373,778.65145086792,1440.74009047347,1007.39434536908,1639.994021627,1261.77833548655,1782.57905372158
"gene-T4p190",183.850712748991,347.970022129999,24.3470703235934,140.587730695439,27.0365087106917,797.406463323567,2513.28238023382,5729.84955552477,4201.84435992122,7110.0436685035
"gene-T4p022",735.402850995963,324.177200104016,925.188672296551,1910.98184485438,502.879062018865,1158.61409326167,472.476273551203,524.65973249881,159.253576323545,764.73665067889
"gene-T4p011",211796.021086837,60792.643011555,24322.7232532698,19247.5167718004,19022.8875288426,10555.5800003932,11951.3601882423,4520.13778579075,8979.45164962756,4570.95741362477
"gene-T4p278",12042.2216850589,7494.24325439239,17189.031648457,29240.8032809319,104155.446157069,79039.4785801239,71709.2018260917,35834.2893770448,42545.2054285901,15885.8483511761
"gene-T4p040",183.850712748991,215.62244961047,278.638693703347,1664.47927272943,5245.08268987418,4145.30920510597,1937.7771395426,2020.86398000907,1984.5445664934,2149.69278970365
"gene-T4p069",153607.270501782,28029.4313979844,18057.4104899985,5835.42920465905,3422.82200277356,1139.97991543536,921.016524433512,560.928355935816,1323.0297109956,848.43617386343
"gene-T4p273",95050.8184912282,6603.49947979466,3955.04631256596,2653.74014459792,210.884767943395,1730.36520803001,288.2729686645,296.967884000551,36.7508253054334,558.598976073321
"gene-T4p158",1286.95498924294,7719.77937984702,24.3470703235934,2598.57052131281,102.738733100628,2913.86274607194,8441.0904290172,21029.4768198939,82971.1132645668,55480.3393379269
"gene-T4p031",9652.16241932201,2255.36125454629,8242.83591955436,12147.7009307071,62054.1947927795,24644.7227826187,18040.4762158813,8441.10210046824,13389.5506862796,4308.81933861516
"gene-T4p176",49088.1403039805,19765.391214293,3443.75783577049,2621.14401692865,1622.1905226415,1204.63142264982,6408.6098954368,6264.29292213874,10951.7459410192,10306.6830119975
"gene-T4p074",5975.1481643422,1914.3308055072,3811.66912066035,12720.9774253669,19428.435159503,19035.6080108275,8249.60224766605,11035.840457313,20384.4577694137,10560.1902009233
"gene-T4p257",2206.20855298789,3133.71293433882,7877.62986470045,5782.96840084785,1243.67940069182,1826.14942697868,1049.0222108802,2380.88195052954,1114.77503426481,2372.08864507169
"gene-T4p093",107920.368383658,38994.4525654171,16101.5291740031,5937.5516988251,2919.9429407547,918.187750088023,752.423669113479,1004.45310248972,3699.58308074696,2365.86637836013
"gene-T4p001",15535.3852272897,6990.62852150909,14034.7334265336,29006.4903964395,51120.6306701758,66522.5377404757,23400.0639004379,20038.9579841743,8085.18156719535,12452.3614360808
"gene-T4p112",113895.516548,27910.9629716467,13114.955214309,4238.39953682975,5774.99826060374,3140.19983284033,1522.53918106918,2426.34126055958,3662.83225544153,4199.62859374132
"gene-T4t002",17098.1162856561,5888.72345143076,8543.11645354534,12446.9351885906,26414.6690103458,15672.5934053201,10611.9836154221,16474.0586565364,28408.3879611,14395.9165511788
"gene-T4p254",132556.363892022,8513.36913117199,7174.2700553522,3837.13307876261,2254.84482647168,2426.87441580622,15991.3445360964,14572.9700759978,152895.683545705,28367.5146562855
"gene-T4p165",2665.83533486037,4946.9242462356,45.988910611232,1720.46154185671,210.884767943395,2149.97507822863,11455.98858866,16011.4607646873,85653.9235118634,43204.8107074231
"gene-T4p030",2114.28319661339,703.870984935326,3227.33943289411,7035.97799549178,50601.5297029305,17773.3697091658,15504.2985096163,12107.4942789775,28739.1453888489,8674.64266903945
"gene-T4p080",49455.8417294785,13743.3288227583,9722.59674922165,10923.7659984163,48238.5388416161,21599.9662996205,13906.8291706271,7819.69309727507,10718.9907140847,6025.36207788179
"gene-T4p110",5423.59602609523,3023.17544867645,9976.8883726014,6662.07061411104,9554.70217835843,4369.94194634146,1698.41691285366,1897.62971999287,4765.35701460453,2550.32647861574
"gene-T4p266",19763.9516205165,7383.70576873001,9922.7837718823,6000.84778053191,6569.87161669807,3329.04131788504,1601.63212554031,681.296702928385,894.270082432213,1009.61295352095
"gene-T4p210",193962.501950185,72628.0849181049,11142.8425180979,6575.83986085854,1189.60638327043,2075.89285906548,2067.86421926485,2250.92761859586,1813.04071506805,2270.32447659552
"gene-T4p071",76022.2697217077,20043.9655055139,5570.06864403099,4246.97746516376,524.508268987418,1152.7056954143,336.145014002288,637.220937116656,649.26458039599,1250.07345418061
"gene-T4p053",551.552138246972,319.220362181937,1301.21564729427,3265.93334569944,1735.7438592264,6801.92939874637,497.452992857874,1109.10834014582,428.75962856339,896.207124745734
"gene-T4p024",3493.16354223082,2496.26357755937,2467.1697927908,1468.08986087164,811.09526132075,543.118109815709,382.976362702297,400.536051199412,281.756327341656,608.377109765805
"gene-T4p126",3493.16354223082,3845.51485994948,7699.08468232744,5706.57969168385,681.32001950943,583.681533498598,132.168472997803,380.27701085994,245.005502036223,1360.26779045954
"gene-T4p131",416146.088307341,95304.6270440354,15108.7097508077,7114.89493616475,794.873356094335,3021.91825285745,2368.62554758268,3400.85051318168,5586.12544642588,6206.61068564112
"gene-T4t004",55430.9898938207,12140.78312255,13382.7729878685,9957.89126800585,43339.5234632387,16102.6565947871,13601.9050557582,18736.9440501619,51512.4068031158,19610.7782103096
"gene-T4p272",202143.858667515,7654.84480306777,11537.8061033473,929.666843442673,535.322872471695,599.134266330175,866.900299269057,200.910385415348,306.256877545278,615.402249601438
"gene-T4p193",0,460.985926753418,2.70523003595483,205.689692051516,21.6292069685533,368.593127247314,1829.54468921369,3862.36133457356,3932.33830768137,6241.33494825724
"gene-T4p235",551.552138246972,337.064978701424,2637.59928505596,9864.52729013875,33103.5012653709,11451.7248815891,10304.9781072776,11969.8316292562,27808.1244811113,13249.2130117225
"gene-T4p231",827.328207370458,1401.29808057195,2188.53109908745,4014.65104828556,16789.6719093395,17360.5772210988,12560.1677213424,20638.4279290486,42937.214231848,27629.874973544
"gene-T4p168",459.626781872477,10095.5917958998,27.0523003595483,3896.81740117088,162.21905226415,4880.22299889007,17084.0760057633,31442.7223789695,170891.337670265,77396.1662874481
"gene-T4p025",3952.7903241033,3462.84697236492,2099.25850790095,1391.15938781287,784.058752610058,652.196223920956,309.08690142006,423.957478323582,330.757427748901,930.329232518808
"gene-T4p076",9284.46099382403,5010.37177163822,5334.71363090292,12595.1979077954,50628.5662116412,47833.7072340745,32303.2236366285,52907.7191538685,53925.7109981726,57806.2627783644
"gene-T4p160",551.552138246972,1268.95050805242,13.5261501797741,531.74126272668,10.8146034842767,701.054129197265,2007.50381427372,6813.26350304492,9861.47145695796,15118.5023628439
"gene-T4p156",1103.10427649394,1578.2571943902,432.836805752772,1255.98929606523,3444.45120974212,2199.9692138602,9470.33940377962,15504.6882824394,14516.5759956462,32500.3040624478
